,Rank,Bank_Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,2,JPMorgan ChaseJPMorgan Chase,865.84,692.68,805.24,71821.42
1,4,Bank of AmericaBank of America,463.04,370.44,430.62,38409.16
2,6,Industrial and Commercial Bank of ChinaIndustrial and Commercial Bank of China,389.12,311.3,361.88,32277.5
3,8,Agricultural Bank of ChinaAgricultural Bank of China,321.36,257.08,298.86,26656.82
4,10,HDFC BankHDFC Bank,315.82,252.66,293.72,26197.26
5,12,Wells FargoWells Fargo,311.74,249.4,289.92,25858.84
6,14,HSBC Holdings PLCHSBC Holdings PLC,297.8,238.24,276.96,24702.52
7,16,Morgan StanleyMorgan Stanley,281.66,225.32,261.94,23363.7
8,18,China Construction BankChina Construction Bank,279.64,223.72,260.06,23196.14
9,20,Bank of ChinaBank of China,273.62,218.9,254.46,22696.78
